Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2034-2-ND,311-2034-1-ND,311-2034-6-ND","CC1210KKX7R9BB105","YAGEO","YAGEO","CAP CER 1UF 50V X7R 1210","4,979","0.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2059-2-ND,311-2059-1-ND,311-2059-6-ND","CC1210MKX7R9BB105","YAGEO","YAGEO","CAP CER 1UF 50V X7R 1210","3,406","0.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJ821BR71H105KA12-01.pdf","//media.digikey.com/Renders/Murata%20Renders/0805-(2012-Metric)-1,35mm.jpg","490-14440-2-ND,490-14440-1-ND,490-14440-6-ND","GJ821BR71H105KA12L","Murata Electronics","Murata Electronics","CAP CER 1UF 50V X7R 0805","67,388","0.4","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GJ8","Not For New Designs","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-"
"https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/ceramiccapacitor/c03e.ashx?la=en-us&cvid=20200707014404000000","//media.digikey.com/Renders/Murata%20Renders/1206-(3216-Metric)-1,25mm.jpg","490-4795-2-ND,490-4795-1-ND,490-4795-6-ND","GCM31MR71H105KA55L","Murata Electronics","Murata Electronics","CAP CER 1UF 50V X7R 1206","2,107,076","0.4","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GCM","Not For New Designs","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.049"" (1.25mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1210C105K5RACTU","//media.digikey.com/Renders/Kemet%20Renders/1210-(3225-Metric)-3,20x2,50x2,80mm.jpg","399-C1210C105K5RAC7800TR-ND,399-C1210C105K5RAC7800CT-ND,399-C1210C105K5RAC7800DKR-ND","C1210C105K5RAC7800","KEMET","KEMET","CAP CER 1UF 50V X7R 1210","163,992","0.4","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.067"" (1.70mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCG21BR71H105KA01-01.pdf","//media.digikey.com/Photos/Murata%20Photos/01005-(0402-Metric)-0,22mm.jpg","490-GCG21BR71H105KA01LTR-ND,490-GCG21BR71H105KA01LCT-ND,490-GCG21BR71H105KA01LDKR-ND","GCG21BR71H105KA01L","Murata Electronics","Murata Electronics","CAP CERAMIC MULTILATER 0805 50VD","5,900","0.41","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GCG","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","Epoxy Mountable","AEC-Q200","Automotive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/ceramiccapacitor/c03e.ashx?la=en-us&cvid=20200707014404000000","//media.digikey.com/Renders/Murata%20Renders/1206-(3216-Metric)-1,60mm.jpg","490-5809-2-ND,490-5809-1-ND,490-5809-6-ND","GCJ31CR71H225KA12L","Murata Electronics","Murata Electronics","CAP CER 2.2UF 50V X7R 1206","843,809","0.41","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GCJ","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CC81H225KE01-01.pdf","//media.digikey.com/Renders/Murata%20Renders/1206-(3216-Metric)-1,80mm.jpg","490-12422-2-ND,490-12422-1-ND,490-12422-6-ND","GRT31CC81H225KE01L","Murata Electronics","Murata Electronics","CAP CER 2.2UF 50V X6S 1206","11,432","0.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRT","Active","2.2 µF","±10%","50V","X6S","-55°C ~ 105°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR71H475KA12-01.pdf","//media.digikey.com/Renders/Murata%20Renders/1206-(3216-Metric)-1,80mm.jpg","490-6521-2-ND,490-6521-1-ND,490-6521-6-ND","GRM31CR71H475KA12L","Murata Electronics","Murata Electronics","CAP CER 4.7UF 50V X7R 1206","267,517","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRM","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1210C105K5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/1210-(3225-Metric)-3,20x2,50x2,80mm.jpg","399-7045-2-ND,399-7045-1-ND,399-7045-6-ND","C1210C105K5RACAUTO","KEMET","KEMET","CAP CER 1UF 50V X7R 1210","25,755","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Auto X7R","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Bypass, Decoupling","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.067"" (1.70mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BC71H475KE11-01.pdf","//media.digikey.com/Renders/Murata%20Renders/0805-(2012-Metric)-1,00mm.jpg","490-12757-2-ND,490-12757-1-ND,490-12757-6-ND","GRM21BC71H475KE11L","Murata Electronics","Murata Electronics","CAP CER 4.7UF 50V X7S 0805","679,170","0.47","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRM","Active","4.7 µF","±10%","50V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMF316B7105MLHT&u=M","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/Taiyo-Yuden-1206-(3216-Metric)-1,80.jpg","587-UMF316B7105MLHTTR-ND,587-UMF316B7105MLHTCT-ND,587-UMF316B7105MLHTDKR-ND","UMF316B7105MLHT","Taiyo Yuden","Taiyo Yuden","CAP, MLCC, 1206/3216, 50V, X7R,","3,725","0.45","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, SMPS Filtering","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=UMK325B7105KNHT&u=M","//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/MFG_UMK325B7105KNHT.jpg","587-UMK325B7105KNHTTR-ND,587-UMK325B7105KNHTCT-ND,587-UMK325B7105KNHTDKR-ND","UMK325B7105KNHT","Taiyo Yuden","Taiyo Yuden","CAP CER 1UF 50V X7R 1210","2,631","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","UMK","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.083"" (2.10mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C225K5REC7800","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-C1206C225K5REC7800TR-ND,399-C1206C225K5REC7800CT-ND,399-C1206C225K5REC7800DKR-ND","C1206C225K5REC7800","KEMET","KEMET","CAP CER 1206 2.2UF 50V X7R 10%","2,060","0.5","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ESD SMD Comm X7R","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","ESD Protection","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"http://www.calchipelectronics.com/pdf/gmc_series.pdf","//media.digikey.com/Photos/CalChip/MFG_GCMXXXXXXXXXXXXNT.jpg","2571-GMC32X7R475K50NTTR-ND","GMC32X7R475K50NT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","CAP CER 4.7UF 50V X7R 1210","1,675,500","0.132","0","500","Tape & Reel (TR)","GMC","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C0603X7R250-223KNE.jpg","2679-C1210X7R500-225KNETR-ND","C1210X7R500-225KNE","Venkel","Venkel","CAP CER 2.2UF 50V X7R 1210","67,000","0.13335","0","1000","Tape & Reel (TR)","C","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.125"" L x 0.100"" W (3.18mm x 2.54mm)","-","0.106"" (2.70mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C0603X7R250-223KNE.jpg","2679-C1210X7R500-225MNETR-ND","C1210X7R500-225MNE","Venkel","Venkel","CAP CER 2.2UF 50V X7R 1210","2,000","0.13335","0","1000","Tape & Reel (TR)","C","Active","2.2 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.125"" L x 0.100"" W (3.18mm x 2.54mm)","-","0.110"" (2.80mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C1206C225K5RECAUTO.pdf","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-17896-2-ND,399-17896-1-ND,399-17896-6-ND","C1206C225K5RECAUTO","KEMET","KEMET","CAP CER 1206 2.2UF 50V X7R 10%","17,900","0.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ESD SMD Auto X7R","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, ESD Protection","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C225M5RACTU","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-13201-2-ND,399-13201-1-ND,399-13201-6-ND","C1206C225M5RAC7800","KEMET","KEMET","CAP CER 2.2UF 50V X7R 1206","19,250","0.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","2.2 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf","//media.digikey.com/Renders/Yageo%20Renders/1206%280%5E7mm%20thickness%29.jpg","311-3514-2-ND,311-3514-1-ND,311-3514-6-ND","CC1206JKX7R9BB105","YAGEO","YAGEO","CAP CER 1UF 50V X7R 1206","7,175","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1 µF","±5%","50V","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206X105K5RECAUTO","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,20mm.jpg","399-17176-2-ND,399-17176-1-ND,399-17176-6-ND","C1206X105K5RECAUTO","KEMET","KEMET","CAP CER 1206 1UF 50V X7R 10%","3,337","0.5","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ESD SMD Auto X7R","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, ESD Protection","-","Surface Mount, MLCC","1206 (3216 Metric)","0.130"" L x 0.063"" W (3.30mm x 1.60mm)","-","0.047"" (1.20mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C333C105K5R5TA7301","//media.digikey.com/Photos/Kemet%20Photos/C333C104K1R5TA.jpg","399-13938-2-ND,399-13938-1-ND","C333C105K5R5TA7301","KEMET","KEMET","CAP CER 1UF 50V X7R RADIAL","24,707","0.47","0","1","Tape & Reel (TR),Cut Tape (CT)","GoldMax 300 Comm X7R","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.280"" L x 0.160"" W (7.11mm x 4.07mm)","0.400"" (10.16mm)","-","0.200"" (5.08mm)","Formed Leads - Kinked"
"https://api.kemet.com/component-edge/download/datasheet/C1210C105M5RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/1210-(3225-Metric)-3,20x2,50x2,80mm.jpg","399-C1210C105M5RAC7800TR-ND,399-C1210C105M5RAC7800CT-ND,399-C1210C105M5RAC7800DKR-ND","C1210C105M5RAC7800","KEMET","KEMET","CAP CER 1UF 50V X7R 1210","11,629","0.5","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.067"" (1.70mm)","-","-"
