Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/NTDA0-e.PDF","-","KTD500B225M32A0T00-ND","KTD500B225M32A0T00","United Chemi-Con","United Chemi-Con","CAP CER 2.2UF 50V X7R RADIAL","0","0.44968","0","2000","Tape & Box (TB)","NTD","Active","2.2 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Through Hole","Radial","0.197"" L x 0.138"" W (5.00mm x 3.50mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Straight"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_conventional_fk_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FK18C0G1H151J.JPG","FK11X7S1H106KR006-ND","FK11X7S1H106KR006","TDK Corporation","TDK Corporation","CAP CER 10UF 50V X7S RADIAL","0","0.45837","0","1500","Tape & Box (TB)","FK","Not For New Designs","10 µF","±10%","50V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)","-","0.098"" (2.50mm)","Formed Leads - Kinked"
"https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/NTDA0-e.PDF","-","KTD500B335M32A0T00-ND","KTD500B335M32A0T00","United Chemi-Con","United Chemi-Con","CAP CER 3.3UF 50V X7R RADIAL","0","0.45892","0","2000","Tape & Box (TB)","NTD","Active","3.3 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Through Hole","Radial","0.197"" L x 0.138"" W (5.00mm x 3.50mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Straight"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FG28_Type.jpg","FG11X7S1H685KRT00-ND","FG11X7S1H685KRT00","TDK Corporation","TDK Corporation","CAP CER 6.8UF 50V X7S RADIAL","0","0.4649","0","500","Bulk","FG","Not For New Designs","6.8 µF","±10%","50V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)","-","0.098"" (2.50mm)","Formed Leads"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FG28_Type.jpg","FG20X7S1H685KRT00-ND","FG20X7S1H685KRT00","TDK Corporation","TDK Corporation","CAP CER 6.8UF 50V X7S RADIAL","0","0.4649","0","500","Bulk","FG","Not For New Designs","6.8 µF","±10%","50V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.276"" (7.00mm)","-","0.197"" (5.00mm)","Formed Leads - Kinked"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/RDE_X7R_250V-1kV_E.pdf","//media.digikey.com/Photos/Murata%20Photos/RDE%20SERIES%205.5mm.jpg","RDEC71H106K3M1H03A-ND","RDEC71H106K3M1H03A","Murata Electronics","Murata Electronics","CAP CER 10UF 50V X7S RADIAL","0","0.4686","0","1500","Tape & Reel (TR)","RDE","Active","10 µF","±10%","50V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.295"" (7.50mm)","-","0.197"" (5.00mm)","Formed Leads - Kinked"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812C335J5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/1812-(4532-Metric)-4,50x3,20x2,7mm.jpg","399-C1812C335J5RACAUTOTR-ND","C1812C335J5RACAUTO","KEMET","KEMET","CAP CER 3.3UF 50V X7R 1812","0","0.47204","0","500","Tape & Reel (TR)","SMD Auto X7R","Active","3.3 µF","±5%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Bypass, Decoupling","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.083"" (2.10mm)","-","-"
"-","-","478-12105C225KAZ4ATR-ND","12105C225KAZ4A","KYOCERA AVX","KYOCERA AVX","CAP CER SMD","0","0.4752","0","6000","Tape & Reel (TR)","FLEXITERM®","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.098"" W (3.30mm x 2.50mm)","-","-","-","-"
"-","-","478-12105C225KAT4ATR-ND","12105C225KAT4A","KYOCERA AVX","KYOCERA AVX","CAP CER SMD","0","0.4752","0","6000","Tape & Reel (TR)","-","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.098"" W (3.30mm x 2.50mm)","-","-","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/RDE_X7R_250V-1kV_E.pdf","//media.digikey.com/Photos/Murata%20Photos/RDE%20SERIES%205.5mm.jpg","490-9175-1-ND,490-9175-3-ND","RDER71H335K3S1H03A","Murata Electronics","Murata Electronics","CAP CER 3.3UF 50V X7R RADIAL","0","0.47965","0","1500","Cut Tape (CT),Tape & Box (TB)","RDE","Active","3.3 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.295"" (7.50mm)","-","0.098"" (2.50mm)","Formed Leads"
