Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.vishay.com/docs/45249/apseries.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_AXXXXXXXXXXXUAAP.jpg","56-A105K20X7RF5UAAPCT-ND,56-A105K20X7RF5UAAPTB-ND","A105K20X7RF5UAAP","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","A 50V 1UF 10% X7R AMMO E3 AUTO","11,871","2.27","0","1","Cut Tape (CT),Tape & Box (TB)","A...P","Active","1 µF","±10%","50V","X7R","-55°C ~ 160°C","High Temperature","AEC-Q200","Automotive","-","Through Hole","Axial","0.122"" Dia x 0.201"" L (3.10mm x 5.10mm)","-","-","-","Straight"
"https://api.kemet.com/component-edge/download/datasheet/C2220X106K5RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/Kemet%202220.jpg","399-C2220X106K5RAC7800TR-ND,399-C2220X106K5RAC7800CT-ND,399-C2220X106K5RAC7800DKR-ND","C2220X106K5RAC7800","KEMET","KEMET","CAP CER 10UF 50V X7R 2220","6,821","3.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R Flex","Active","10 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","2220 (5750 Metric)","0.232"" L x 0.197"" W (5.90mm x 5.00mm)","-","0.100"" (2.55mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_megacap_en.pdf","//media.digikey.com/photos/TDK%20Photos/CKG32KX.JPG","445-10322-2-ND,445-10322-1-ND,445-10322-6-ND","CKG32KX7S1H685M335AH","TDK Corporation","TDK Corporation","CAP CER 6.8UF 50V X7S SMD","16,853","3.75","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MEGACAP, CKG","Not For New Designs","6.8 µF","±20%","50V","X7S","-55°C ~ 125°C","Low ESL","-","SMPS Filtering, Bypass, Decoupling","-","Surface Mount, MLCC","SMD, J-Lead","0.142"" L x 0.102"" W (3.60mm x 2.60mm)","-","0.136"" (3.45mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220X106K5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/Kemet%202220.jpg","399-16426-2-ND,399-16426-1-ND,399-16426-6-ND","C2220X106K5RACAUTO","KEMET","KEMET","CAP CER 10UF 50V X7R 2220","3,448","3.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Auto X7R Flex","Active","10 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","2220 (5750 Metric)","0.232"" L x 0.197"" W (5.90mm x 5.00mm)","-","0.100"" (2.55mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C1206C0G500-101JNP.jpg","2679-C1812X7R500-106KNETR-ND","C1812X7R500-106KNE","Venkel","Venkel","CAP CER 10UF 50V X7R 1812","2,000","1.58333","0","1000","Tape & Reel (TR)","C","Active","10 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.095"" (2.41mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220C105J5RACTU","//media.digikey.com/Renders/Kemet%20Renders/2220-(5750-Metric)-2,70mm-C-Series.jpg","399-C2220C105J5RAC7800TR-ND,399-C2220C105J5RAC7800CT-ND,399-C2220C105J5RAC7800DKR-ND","C2220C105J5RAC7800","KEMET","KEMET","CAP CER 1UF 50V X7R 2220","13,266","3.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","1 µF","±5%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.049"" (1.25mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C2220C225K5RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/2220-(5750-Metric)-2,70mm-C-Series.jpg","399-14742-2-ND,399-14742-1-ND,399-14742-6-ND","C2220C225K5RAC7800","KEMET","KEMET","CAP CER 2.2UF 50V X7R 2220","2,004","3.94","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.065"" (1.65mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/KRM55_25V-100V_E.pdf","//media.digikey.com/Photos/Murata%20Photos/KRM55QR71E226KH01K.JPG","490-5781-2-ND,490-5781-1-ND,490-5781-6-ND","KRM55QR71J106KH01K","Murata Electronics","Murata Electronics","CAP CER 10UF 63V X7R SMD","1,264","4.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KRM","Active","10 µF","±10%","63V","X7R","-55°C ~ 125°C","-","-","Boardflex Sensitive","-","Surface Mount, MLCC","SMD, J-Lead","0.240"" L x 0.209"" W (6.10mm x 5.30mm)","-","0.154"" (3.90mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812X475K5RACTU","//media.digikey.com/Renders/Kemet%20Renders/1812-(4532-Metric)-4,50x3,20x2,7mm.jpg","399-C1812X475K5RAC7800TR-ND,399-C1812X475K5RAC7800CT-ND,399-C1812X475K5RAC7800DKR-ND","C1812X475K5RAC7800","KEMET","KEMET","CAP CER 4.7UF 50V X7R 1812","1,932","4.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R Flex","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.071"" (1.80mm)","-","-"
"https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/ceramiccapacitor/c03e.ashx?la=en-us&cvid=20200707014404000000","//media.digikey.com/Photos/Murata%20Photos/KCM55QR71J106KH01K.JPG","490-5833-2-ND,490-5833-1-ND,490-5833-6-ND","KCM55QR71J106KH01K","Murata Electronics","Murata Electronics","CAP CER 10UF 63V X7R SMD","9,242","4.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KCM","Active","10 µF","±10%","63V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","SMD, J-Lead","0.240"" L x 0.209"" W (6.10mm x 5.30mm)","-","0.154"" (3.90mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1210C475K5R1C7186","//media.digikey.com/Photos/Kemet%20Photos/MFG_KPS-Single-Chip-Stack.JPG","399-5808-2-ND,399-5808-1-ND,399-5808-6-ND","C1210C475K5R1C7186","KEMET","KEMET","CAP CER 4.7UF 50V X7R SMD","3,000","4.37","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KPS SMD Comm X7R","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","Low ESL","-","Boardflex Sensitive","-","Surface Mount, MLCC","SMD, J-Lead","0.138"" L x 0.142"" W (3.50mm x 3.60mm)","-","0.136"" (3.45mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220C475K5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/2220-(5750-Metric)-2,70mm-C-Series.jpg","399-15989-2-ND,399-15989-1-ND,399-15989-6-ND","C2220C475K5RACAUTO","KEMET","KEMET","CAP CER 4.7UF 50V X7R 2220","3,000","4.71","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Auto X7R","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Bypass, Decoupling","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.065"" (1.65mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/KRM55_25V-100V_E.pdf","//media.digikey.com/Photos/Murata%20Photos/KRM55WR7.jpg","490-13413-2-ND,490-13413-1-ND,490-13413-6-ND","KRM55TR71H226MH01L","Murata Electronics","Murata Electronics","CAP CER 22UF 50V X7R SMD","817","4.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KRM","Active","22 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","Boardflex Sensitive","-","Surface Mount, MLCC","Stacked SMD, 2 J-Lead","0.240"" L x 0.209"" W (6.10mm x 5.30mm)","-","-","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220C106M5RACTU","//media.digikey.com/Renders/Kemet%20Renders/2220-(5750-Metric)-2,70mm-C-Series.jpg","399-C2220C106M5RAC7800TR-ND,399-C2220C106M5RAC7800CT-ND,399-C2220C106M5RAC7800DKR-ND","C2220C106M5RAC7800","KEMET","KEMET","CAP CER 10UF 50V X7R 2220","516","4.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","10 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.100"" (2.55mm)","-","-"
"https://www.vishay.com/docs/45250/kgseries.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_Vishay-K-G%20Series.jpg","56-K105K20X7RF53H5G-ND","K105K20X7RF53H5G","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","K 50V 1UF 10% X7R BULK GREEN AUT","19,104","2.42","0","1","Bulk","K...G","Active","1 µF","±10%","50V","X7R","-55°C ~ 160°C","High Temperature","AEC-Q200","Automotive","-","Through Hole","Radial","0.185"" L x 0.100"" W (4.70mm x 2.55mm)","0.303"" (7.70mm)","-","0.197"" (5.00mm)","Formed Leads"
