Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.yuden.co.jp/productdata/catalog/mlcc_all_hq_e.pdf","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1206-(3216-Metric)-0,90mm.jpg","587-4273-2-ND,587-4273-1-ND,587-4273-6-ND","UMJ316BB7105KLHT","Taiyo Yuden","Taiyo Yuden","CAP CER 1UF 50V X7R 1206","7,860","0.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/0805-(2012-Metric)-1,45mm-C-Series.jpg","445-14506-2-ND,445-14506-1-ND,445-14506-6-ND","C2012X6S1H225M085AC","TDK Corporation","TDK Corporation","CAP CER 2.2UF 50V X6S 0805","5,689","0.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Not For New Designs","2.2 µF","±20%","50V","X6S","-55°C ~ 105°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"https://www.we-online.com/katalog/datasheet/885012209047.pdf","//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1210-(3225-Metric)-2,80mm_BN.jpg","732-7744-2-ND,732-7744-1-ND,732-7744-6-ND","885012209047","Würth Elektronik","Würth Elektronik","CAP CER 1UF 50V X7R 1210","2,882","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WCAP-CSGP","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.053"" (1.35mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Photos/TDK%20Photos/MFG_CK45-B3AD681KYVNA.jpg","445-14508-2-ND,445-14508-1-ND,445-14508-6-ND","C2012X6S1H335M125AC","TDK Corporation","TDK Corporation","CAP CER 3.3UF 50V X6S 0805","6,059","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Not For New Designs","3.3 µF","±20%","50V","X6S","-55°C ~ 105°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/0805-(2012-Metric)-1,45mm-C-Series.jpg","445-5967-2-ND,445-5967-1-ND,445-5967-6-ND","C2012X7R1H155M125AC","TDK Corporation","TDK Corporation","CAP CER 1.5UF 50V X7R 0805","2,698","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Not For New Designs","1.5 µF","±20%","50V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FA24_Type.jpg","445-174250-1-ND,445-174250-3-ND","FA24X7R1H105KRU06","TDK Corporation","TDK Corporation","CAP CER 1UF 50V X7R RADIAL","6,446","0.65","0","1","Cut Tape (CT),Tape & Box (TB)","FA","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.177"" L x 0.118"" W (4.50mm x 3.00mm)","0.217"" (5.50mm)","-","0.197"" (5.00mm)","Formed Leads"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FA24_Type.jpg","445-180407-1-ND,445-180407-3-ND","FA14X7R1H225KRU06","TDK Corporation","TDK Corporation","CAP CER 2.2UF 50V X7R RADIAL","7,334","0.72","0","1","Cut Tape (CT),Tape & Box (TB)","FA","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.177"" L x 0.118"" W (4.50mm x 3.00mm)","0.217"" (5.50mm)","-","0.098"" (2.50mm)","Formed Leads"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1210-(3225-Metric)-2.2.jpg","445-8865-2-ND,445-8865-1-ND,445-8865-6-ND","CGA6L2X7R1H105K160AD","TDK Corporation","TDK Corporation","CAP CER 1UF 50V X7R 1210 EPOXY","4,779","0.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","Epoxy Mountable","AEC-Q200","Automotive","-","Surface Mount, MLCC, Epoxy","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.071"" (1.80mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FA24_Type.jpg","445-180637-1-ND,445-180637-3-ND","FA24X7R1H155KRU06","TDK Corporation","TDK Corporation","CAP CER 1.5UF 50V X7R RADIAL","7,644","0.72","0","1","Cut Tape (CT),Tape & Box (TB)","FA","Active","1.5 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.177"" L x 0.118"" W (4.50mm x 3.00mm)","0.217"" (5.50mm)","-","0.197"" (5.00mm)","Formed Leads"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FA24_Type.jpg","445-181141-1-ND,445-181141-3-ND","FA24X7R1H225KRU06","TDK Corporation","TDK Corporation","CAP CER 2.2UF 50V X7R RADIAL","3,366","0.72","0","1","Cut Tape (CT),Tape & Box (TB)","FA","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.177"" L x 0.118"" W (4.50mm x 3.00mm)","0.217"" (5.50mm)","-","0.197"" (5.00mm)","Formed Leads"
