Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6BV820K-ND","IHB6BV820K","Vishay Dale","Vishay Dale","FIXED IND 82UH 19.4A 10 MOHM TH","0","32.66313","0","16","-","IHB","Active","Wirewound","-","82 µH","±10%","19.4 A","-","Unshielded","10mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6EB221K-ND","IHB6EB221K","Vishay Dale","Vishay Dale","FIXED IND 220UH 11.6A 28 MOHM TH","0","31.70813","0","16","-","IHB","Active","Wirewound","-","220 µH","±10%","11.6 A","-","Unshielded","28mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6EB820K-ND","IHB6EB820K","Vishay Dale","Vishay Dale","FIXED IND 82UH 19.4A 10 MOHM TH","0","31.70813","0","16","-","IHB","Active","Wirewound","-","82 µH","±10%","19.4 A","-","Unshielded","10mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5EB820K-ND","IHB5EB820K","Vishay Dale","Vishay Dale","FIXED IND 82UH 12.4A 17 MOHM TH","0","17.16938","0","16","-","IHB","Active","Wirewound","-","82 µH","±10%","12.4 A","-","Unshielded","17mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5EB101K-ND","IHB5EB101K","Vishay Dale","Vishay Dale","FIXED IND 100UH 12.1A 18 MOHM TH","0","17.84563","0","16","-","IHB","Active","Wirewound","-","100 µH","±10%","12.1 A","-","Unshielded","18mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34013/ih.pdf","-","IH10EB500K-ND","IH10EB500K","Vishay Dale","Vishay Dale","FIXED IND 50UH 11A 25 MOHM TH","0","6.972","0","75","-","IH","Active","Wirewound","Ferrite","50 µH","±10%","11 A","10A","Unshielded","25mOhm Max","-","-","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","0.935"" Dia x 1.375"" L (23.75mm x 34.93mm)","-"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV15BZ500-ND","IHV15BZ500","Vishay Dale","Vishay Dale","FIXED IND 500UH 15A 50 MOHM TH","0","25.99","0","10","-","IHV","Active","-","Iron","500 µH","±10%","15 A","-","Unshielded","50mOhm Max","-","800kHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.450"" Dia x 2.450"" L (36.83mm x 62.23mm)","-"
"https://www.vishay.com/docs/34013/ih.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/IH10BQ101K.jpg","IH10BQ680K-ND","IH10BQ680K","Vishay Dale","Vishay Dale","FIXED IND 68UH 10A 27 MOHM TH","0","7.392","0","75","-","IH","Active","Wirewound","Ferrite","68 µH","±10%","10 A","8A","Unshielded","27mOhm Max","-","-","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","0.935"" Dia x 1.375"" L (23.75mm x 34.93mm)","-"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5BV101K-ND","IHB5BV101K","Vishay Dale","Vishay Dale","FIXED IND 100UH 12.1A 18 MOHM TH","0","18.375","0","16","-","IHB","Active","Wirewound","-","100 µH","±10%","12.1 A","-","Unshielded","18mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6BV560K-ND","IHB6BV560K","Vishay Dale","Vishay Dale","FIXED IND 56UH 20.5A 9 MOHM TH","0","32.66313","0","16","-","IHB","Active","Wirewound","-","56 µH","±10%","20.5 A","-","Unshielded","9mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6BV221K-ND","IHB6BV221K","Vishay Dale","Vishay Dale","FIXED IND 220UH 11.6A 28 MOHM TH","0","32.66313","0","16","-","IHB","Active","Wirewound","-","220 µH","±10%","11.6 A","-","Unshielded","28mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6BV271K-ND","IHB6BV271K","Vishay Dale","Vishay Dale","FIXED IND 270UH 11.2A 30 MOHM TH","0","32.66313","0","16","-","IHB","Active","Wirewound","-","270 µH","±10%","11.2 A","-","Unshielded","30mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5BV820K-ND","IHB5BV820K","Vishay Dale","Vishay Dale","FIXED IND 82UH 12.4A 17 MOHM TH","0","17.625","0","16","-","IHB","Active","Wirewound","-","82 µH","±10%","12.4 A","-","Unshielded","17mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV20EB200-ND","IHV20EB200","Vishay Dale","Vishay Dale","FIXED IND 200UH 20A 21 MOHM TH","0","24.622","0","10","-","IHV","Active","-","Iron","200 µH","±10%","20 A","-","Unshielded","21mOhm Max","-","1.2MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.450"" Dia x 2.450"" L (36.83mm x 62.23mm)","-"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB6BV121K-ND","IHB6BV121K","Vishay Dale","Vishay Dale","FIXED IND 120UH 15.9A 15 MOHM TH","0","32.66313","0","16","-","IHB","Active","Wirewound","-","120 µH","±10%","15.9 A","-","Unshielded","15mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","2.000"" Dia (50.80mm)","1.500"" (38.10mm)"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV28EB60-ND","IHV28EB60","Vishay Dale","Vishay Dale","FIXED IND 60UH 28A 8.5 MOHM TH","0","15.16429","0","14","-","IHV","Active","-","Iron","60 µH","±10%","28 A","-","Unshielded","8.5mOhm Max","-","1.9MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.020"" Dia x 2.450"" L (25.91mm x 62.23mm)","-"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5BV151K-ND","IHB5BV151K","Vishay Dale","Vishay Dale","FIXED IND 150UH 10.2A 25 MOHM TH","0","18.375","0","16","-","IHB","Active","Wirewound","-","150 µH","±10%","10.2 A","-","Unshielded","25mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB4EB470K-ND","IHB4EB470K","Vishay Dale","Vishay Dale","FIXED IND 47UH 11.3A 18 MOHM TH","0","12.61563","0","16","-","IHB","Active","Wirewound","-","47 µH","±10%","11.3 A","-","Unshielded","18mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.030"" (26.16mm)"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV45EB92-ND","IHV45EB92","Vishay Dale","Vishay Dale","FIXED IND 92UH 45A 7.5 MOHM TH","0","47.364","0","5","-","IHV","Active","-","Iron","92 µH","±10%","45 A","-","Unshielded","7.5mOhm Max","-","2.9MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.920"" Dia x 2.550"" L (48.77mm x 64.77mm)","-"
"https://www.vishay.com/docs/34015/ihb.pdf","-","IHB5BV121K-ND","IHB5BV121K","Vishay Dale","Vishay Dale","FIXED IND 120UH 10.9A 22 MOHM TH","0","18.375","0","16","-","IHB","Active","Wirewound","-","120 µH","±10%","10.9 A","-","Unshielded","22mOhm Max","-","-","-","-55°C ~ 130°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.600"" Dia (40.64mm)","1.450"" (36.83mm)"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV20BZ200-ND","IHV20BZ200","Vishay Dale","Vishay Dale","FIXED IND 200UH 20A 21 MOHM TH","0","25.358","0","10","-","IHV","Active","-","Iron","200 µH","±10%","20 A","-","Unshielded","21mOhm Max","-","1.2MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.450"" Dia x 2.450"" L (36.83mm x 62.23mm)","-"
"https://www.vishay.com/docs/34559/ihth-1500tz-5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHTH-1500TZ-5A.jpg","541-IHTH1500TZEB101M5A-ND","IHTH1500TZEB101M5A","Vishay Dale","Vishay Dale","IHTH-1500TZ-5A 100 20% EB E2","0","12.012","0","25","Bulk","IHTH-1500TZ-5A","Active","-","Metal Composite","100 µH","±20%","12.2 A","33.7A","Shielded","22.6mOhm Max","-","1.2MHz","-","-55°C ~ 155°C","100 kHz","-","Through Hole","Radial, Vertical Cylinder, 4 Leads","Radial","1.500"" Dia (38.10mm)","0.780"" (19.81mm)"
"https://www.vishay.com/docs/34349/ihth-1125kz-5a.pdf","-","IHTH1125KZEB680M5A-ND","IHTH1125KZEB680M5A","Vishay Dale","Vishay Dale","FIXED IND 68UH 10.5A 27.4MOHM TH","0","6.72","0","60","Bulk","IHTH-1125KZ-5A","Active","-","Metal Composite","68 µH","±20%","10.5 A","9.6A","Shielded","27.4mOhm Max","-","2.95MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Through Hole","Radial, Vertical Cylinder, 3 Leads","-","1.125"" Dia (28.58mm)","0.433"" (11.00mm)"
"//media.digikey.com/pdf/Data%20Sheets/Vishay%20Dale%20PDFs/IHTH-1125MZ-5A.pdf","-","IHTH1125MZEB680M5A-ND","IHTH1125MZEB680M5A","Vishay Dale","Vishay Dale","FIXED IND 68UH 11.2A 27.4MOHM TH","0","7.58567","0","60","Tray","IHTH-1125MZ-5A","Active","-","-","68 µH","±20%","11.2 A","9.1A","Shielded","27.4mOhm Max","-","2.95MHz","AEC-Q200","-55°C ~ 125°C","100 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.179"" Dia (29.95mm)","0.500"" (12.70mm)"
