Manufacturer,Part Number,Voltage Rating (V),Current Rating (A),Coss (pF),"Rds,on (mOHms)",Qg (nC),Length (mm),Width (mm),Height (mm),Volume (mm^3),Price ($) ,Link,"FOM 1: (Coss*Rds,on*Volume"
EPC,EPC2039,80,6.8,115,20,1.91,1.35,1.35,0.815,1.49,1.1385,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2039_datasheet.pdf,2300
EPC,EPC2214,80,10,129,15,1.8,1.35,1.35,0.805,1.47,1.2184,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2214_datasheet.pdf,1935
EPC,EPC2202,80,18,230,12,3.2,2.1,1.6,0.815,2.74,2.2024,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2202_datasheet.pdf,2760
EPC,EPC2065,80,60,534,2.7,9.4,3.5,1.95,0.638,4.35,2.574,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2065_datasheet.pdf,1441.8
EPC,EPC2029,80,48,820,2.5,13,4.6,2.6,0.79,9.45,5.0125,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2029_datasheet.pdf,2050
EPC,EPC2206,80,90,1100,1.8,15,6.05,2.3,0.795,11.06,4.719,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2206_datasheet.pdf,1980
EPC,EPC2021,80,90,1100,1.8,15,6.05,2.3,0.785,10.92,5.9132,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2021_datasheet.pdf,1980
EPC,EPC2037,100,1.7,6.5,400,0.115,0.9,0.9,0.815,0.66,0.9361,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2037_datasheet.pdf,2600
EPC,EPC8010,100,4,25,120,0.36,2.05,0.85,0.815,1.42,1.4761,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC8010_datasheet.pdf,3000
EPC,EPC2036,100,1.7,50,62,0.7,0.9,0.9,0.625,0.51,0.5649,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2036_datasheet.pdf,3100
EPC,EPC2007C,100,6,110,24,1.6,1.7,1.1,0.815,1.52,1.5464,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2007C_datasheet.pdf,2640
EPC,EPC2051,100,1.7,86,20,1.8,0.85,1.3,0.685,0.76,0.9614,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2051_datasheet.pdf,1720
EPC,EPC2070,100,1.7,82,18,1.9,0.85,1.3,0.618,0.68,1.1132,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2070_datasheet.pdf,1476
EPC,EPC2016C,100,18,210,12,3.4,2.1,1.6,0.815,2.74,1.7587,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2016C_datasheet.pdf,2520
EPC,EPC2212,100,18,238,10,3.2,2.1,1.6,0.815,2.74,2.1556,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2212_datasheet.pdf,2380
