Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_megacap_en.pdf","//media.digikey.com/photos/TDK%20Photos/CKG%20SERIES%205.5H,6.5L,5.5W.jpg","445-10512-2-ND,445-10512-1-ND,445-10512-6-ND","CKG57NX7S1H226M500JJ","TDK Corporation","TDK Corporation","CAP CER 22UF 50V X7S SMD","301","4.95","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MEGACAP, CKG","Active","22 µF","±20%","50V","X7S","-55°C ~ 125°C","Low ESL (Stacked)","AEC-Q200","Automotive, SMPS Filtering, Bypass, Decoupling","-","Surface Mount, MLCC","Stacked SMD, 2 J-Lead","0.236"" L x 0.197"" W (6.00mm x 5.00mm)","-","0.217"" (5.50mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220C106K5R1CAUTO","//media.digikey.com/Photos/Kemet%20Photos/MFG_KPS-Single-Chip-Stack.JPG","399-5798-2-ND,399-5798-1-ND,399-5798-6-ND","C2220C106K5R1CAUTO","KEMET","KEMET","CAP CER 10UF 50V X7R 2220","188","6.47","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KPS SMD Auto X7R","Active","10 µF","±10%","50V","X7R","-55°C ~ 125°C","Low ESL","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","SMD, J-Lead","0.236"" L x 0.197"" W (6.00mm x 5.00mm)","-","0.150"" (3.80mm)","-","J-Lead"
"//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/NTJ_Series_2016.pdf","//media.digikey.com/Photos/United%20Chemi-Con%20Photos/KTJNTJ%20SERIES.JPG","565-4686-2-ND,565-4686-1-ND,565-4686-6-ND","KTJ500B336M76BFT00","United Chemi-Con","United Chemi-Con","CAP CER 33UF 50V X7R SMD","159","6.63","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KTJ, NTJ","Active","33 µF","±20%","50V","X7R","-55°C ~ 125°C","Low ESL (Stacked)","-","Bypass, Decoupling","-","Surface Mount, MLCC","Stacked SMD, 2 J-Lead","0.307"" L x 0.260"" W (7.80mm x 6.60mm)","-","0.335"" (8.50mm)","-","J-Lead"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C2220X156K5RACTU","//media.digikey.com/Renders/Kemet%20Renders/Kemet%202220.jpg","399-C2220X156K5RAC7800TR-ND,399-C2220X156K5RAC7800CT-ND,399-C2220X156K5RAC7800DKR-ND","C2220X156K5RAC7800","KEMET","KEMET","CAP CER 15UF 50V X7R 2220","396","6.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R Flex","Active","15 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","2220 (5750 Metric)","0.232"" L x 0.197"" W (5.90mm x 5.00mm)","-","0.100"" (2.55mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_megacap_en.pdf","//media.digikey.com/Photos/TDK%20Photos/MFG_CKG57KX7R1H226M335JH.jpg","445-CKG57KX7R1H226M335JJTR-ND,445-CKG57KX7R1H226M335JJCT-ND,445-CKG57KX7R1H226M335JJDKR-ND","CKG57KX7R1H226M335JJ","TDK Corporation","TDK Corporation","AUTOMOTIVE GRADE MEGA CAP,2220,X","980","7.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MEGACAP, CKG","Active","22 µF","±20%","50V","X7R","-55°C ~ 125°C","Low ESL","AEC-Q200","Automotive, SMPS Filtering, Bypass, Decoupling","-","Surface Mount, MLCC","SMD, J-Lead","0.236"" L x 0.197"" W (6.00mm x 5.00mm)","-","0.138"" (3.50mm)","-","J-Lead"
"http://www.calchipelectronics.com/pdf/gmc_series.pdf","//media.digikey.com/Photos/CalChip/MFG_GMCxx_series.jpg","2571-GMC21X7R475K35NTTR-ND","GMC21X7R475K35NT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","CAP CER 4.7UF 35V X7R 0805","42,000","0.074","0","2000","Tape & Reel (TR)","GMC","Active","4.7 µF","±10%","35V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"http://www.calchipelectronics.com/pdf/gmc_series.pdf","//media.digikey.com/Photos/CalChip/MFG_GMCxx_series.jpg","2571-GMC21X7R225M35NTTR-ND","GMC21X7R225M35NT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","CAP0805 X7R 2.2UF 20% 35V","14,000","0.099","0","2000","Tape & Reel (TR)","GMC","Active","2.2 µF","±20%","35V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"http://www.calchipelectronics.com/pdf/gmc_series.pdf","//media.digikey.com/Photos/CalChip/MFG_sHwS4iJ8.jpg","2571-GMC21X7R225K35NTTR-ND","GMC21X7R225K35NT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","CAP CER 2.2UF 35V X7R 0805","1,446,000","0.11","0","2000","Tape & Reel (TR)","GMC","Active","2.2 µF","±10%","35V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"http://www.calchipelectronics.com/pdf/gmc_series.pdf","//media.digikey.com/Photos/CalChip/MFG_GMC_SERIES.jpg","2571-GMC31X7R475M50NTTR-ND","GMC31X7R475M50NT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","CAP CER 4.7UF 50V X7R 1206","2,000","0.119","0","2000","Tape & Reel (TR)","GMC","Active","4.7 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"http://www.calchipelectronics.com/pdf/gmx_series.pdf","//media.digikey.com/Photos/CalChip/MFG_GMCxx_series.jpg","2571-GMX32X7R475K50CTTR-ND","GMX32X7R475K50CT","CAL-CHIP ELECTRONICS, INC.","CAL-CHIP ELECTRONICS, INC.","FLEXCAP 1210 X7R 4.7UF 10% 50V","100,000","0.12","0","2000","Tape & Reel (TR)","GMX","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.079"" (2.00mm)","-","-"
